days_after_transplant,ec,ns_policy,ec_limit,light,treatment,plant_height_cm,num_leaves,t_air_mean,rh_mean,co2_mean,par_lamp_daily,light_on_hours_daily,par_lamp_sum,light_on_hours,t_air_mean_7d,par_lamp_sum_7d,ns_new_per_plant_l,ns_added_per_plant_l,ns_residual_per_plant_l,ns_replications
33,EC3,low,5,no light,Cherry_EC3_NoLight,31.343,18.343,22.159,79.864,487.944,39426.292,11.583,1357430.137,377.333,152.648,266360.744,0.0,0.37,0.0,3
37,EC3,low,5,no light,Cherry_EC3_NoLight,33.4,22.8,21.691,81.958,490.875,31381.065,17.25,1496167.554,435.667,151.656,255047.54,0.0,1.11,0.0,3
43,EC3,low,5,no light,Cherry_EC3_NoLight,34.343,18.171,20.0,77.148,494.41,40632.032,11.5,1697298.535,521.75,143.524,232512.046,0.0,0.37,0.0,3
44,EC3,low,5,no light,Cherry_EC3_NoLight,34.5,17.4,19.943,78.468,494.153,33861.924,12.583,1731160.459,534.333,141.776,234992.905,0.0,1.233,0.0,3
47,EC3,low,5,no light,Cherry_EC3_NoLight,33.129,17.4,19.674,84.806,488.149,28819.238,15.417,1812178.201,583.0,138.983,223328.421,0.0,0.74,0.0,3
48,EC3,low,5,no light,Cherry_EC3_NoLight,32.671,17.4,20.088,81.032,493.826,33840.457,13.833,1846018.658,596.833,139.424,223990.068,0.0,0.56,0.0,3
49,EC3,low,5,no light,Cherry_EC3_NoLight,32.214,17.4,19.815,82.982,498.479,29498.89,16.0,1875517.547,612.833,139.132,218851.044,0.0,0.58,0.0,3
51,EC3,low,5,no light,Cherry_EC3_NoLight,31.3,17.4,19.219,84.488,494.09,24531.079,18.0,1929137.13,648.833,138.062,197976.671,0.0,1.15,0.0,3
54,EC3,low,5,no light,Cherry_EC3_NoLight,32.929,17.4,19.65,84.753,491.021,28060.518,17.667,2015526.164,700.25,137.53,203347.963,0.0,1.73,0.0,3
56,EC3,low,5,no light,Cherry_EC3_NoLight,34.014,17.4,19.782,84.543,490.361,29006.927,18.0,2074184.704,734.417,137.343,198667.157,0.0,0.19,0.0,3
58,EC3,low,5,no light,Cherry_EC3_NoLight,35.1,17.4,19.552,85.341,484.253,28610.503,17.25,2131155.509,766.667,137.616,202018.379,0.0,0.58,0.0,3
8,EC6,high,10,high light,Cherry_EC6_HighLight,14.24,7.0,23.922,79.309,419.351,38390.399,13.75,386644.791,57.75,181.225,341330.678,0.0,0.27,0.0,3
12,EC6,high,10,high light,Cherry_EC6_HighLight,18.98,8.44,22.728,72.636,453.062,44906.326,9.75,569534.666,96.75,165.277,319979.388,0.0,0.4,0.0,3
15,EC6,high,10,high light,Cherry_EC6_HighLight,22.535,9.52,20.911,78.177,473.778,34237.617,14.5,674148.127,140.917,153.844,287503.336,0.0,0.54,0.0,3
22,EC6,high,10,high light,Cherry_EC6_HighLight,27.56,12.04,21.754,77.191,494.035,40729.123,12.333,941019.584,233.417,148.43,266871.457,0.0,0.71,0.0,3
27,EC6,high,10,high light,Cherry_EC6_HighLight,28.886,14.114,22.918,76.353,499.944,43688.373,10.75,1134757.766,299.833,153.191,275707.942,0.0,0.71,0.0,3
28,EC6,high,10,high light,Cherry_EC6_HighLight,29.057,14.543,22.68,80.067,496.413,38022.965,11.25,1172780.731,311.083,154.356,272490.27,0.0,0.37,0.0,3
29,EC6,high,10,high light,Cherry_EC6_HighLight,29.229,14.971,21.496,80.329,494.795,32399.101,15.0,1205179.833,326.083,154.098,264160.248,0.0,0.37,0.0,3
33,EC6,high,10,high light,Cherry_EC6_HighLight,30.086,17.629,22.159,79.864,487.944,39426.292,11.583,1357430.137,377.333,152.648,266360.744,0.0,0.37,0.0,3
37,EC6,high,10,high light,Cherry_EC6_HighLight,31.0,20.6,21.691,81.958,490.875,31381.065,17.25,1496167.554,435.667,151.656,255047.54,0.0,1.11,0.0,3
43,EC6,high,10,high light,Cherry_EC6_HighLight,29.2,17.514,20.0,77.148,494.41,40632.032,11.5,1697298.535,521.75,143.524,232512.046,0.0,0.493,0.0,3
44,EC6,high,10,high light,Cherry_EC6_HighLight,28.9,17.0,19.943,78.468,494.153,33861.924,12.583,1731160.459,534.333,141.776,234992.905,0.0,1.233,0.0,3
47,EC6,high,10,high light,Cherry_EC6_HighLight,29.714,17.0,19.674,84.806,488.149,28819.238,15.417,1812178.201,583.0,138.983,223328.421,0.0,0.863,0.0,3
48,EC6,high,10,high light,Cherry_EC6_HighLight,29.986,17.0,20.088,81.032,493.826,33840.457,13.833,1846018.658,596.833,139.424,223990.068,0.0,0.56,0.0,3
49,EC6,high,10,high light,Cherry_EC6_HighLight,30.257,17.0,19.815,82.982,498.479,29498.89,16.0,1875517.547,612.833,139.132,218851.044,0.0,0.58,0.0,3
51,EC6,high,10,high light,Cherry_EC6_HighLight,30.8,17.0,19.219,84.488,494.09,24531.079,18.0,1929137.13,648.833,138.062,197976.671,0.0,1.15,0.0,3
54,EC6,high,10,high light,Cherry_EC6_HighLight,31.7,17.0,19.65,84.753,491.021,28060.518,17.667,2015526.164,700.25,137.53,203347.963,0.0,1.73,0.0,3
56,EC6,high,10,high light,Cherry_EC6_HighLight,32.3,17.0,19.782,84.543,490.361,29006.927,18.0,2074184.704,734.417,137.343,198667.157,0.0,0.317,0.0,3
58,EC6,high,10,high light,Cherry_EC6_HighLight,32.9,17.0,19.552,85.341,484.253,28610.503,17.25,2131155.509,766.667,137.616,202018.379,0.0,0.58,0.0,3
8,EC6,high,10,low light,Cherry_EC6_LowLight,15.12,7.4,23.922,79.309,419.351,38390.399,13.75,386644.791,57.75,181.225,341330.678,0.0,0.27,0.0,3
12,EC6,high,10,low light,Cherry_EC6_LowLight,19.19,8.413,22.728,72.636,453.062,44906.326,9.75,569534.666,96.75,165.277,319979.388,0.0,0.4,0.0,3
15,EC6,high,10,low light,Cherry_EC6_LowLight,22.242,9.173,20.911,78.177,473.778,34237.617,14.5,674148.127,140.917,153.844,287503.336,0.0,0.54,0.0,3
22,EC6,high,10,low light,Cherry_EC6_LowLight,28.351,10.947,21.754,77.191,494.035,40729.123,12.333,941019.584,233.417,148.43,266871.457,0.0,0.71,0.0,3
27,EC6,high,10,low light,Cherry_EC6_LowLight,30.114,12.686,22.918,76.353,499.944,43688.373,10.75,1134757.766,299.833,153.191,275707.942,0.0,0.71,0.0,3
28,EC6,high,10,low light,Cherry_EC6_LowLight,30.343,13.057,22.68,80.067,496.413,38022.965,11.25,1172780.731,311.083,154.356,272490.27,0.0,0.37,0.0,3
29,EC6,high,10,low light,Cherry_EC6_LowLight,30.571,13.429,21.496,80.329,494.795,32399.101,15.0,1205179.833,326.083,154.098,264160.248,0.0,0.37,0.0,3
33,EC6,high,10,low light,Cherry_EC6_LowLight,31.057,16.371,22.159,79.864,487.944,39426.292,11.583,1357430.137,377.333,152.648,266360.744,0.0,0.37,0.0,3
37,EC6,high,10,low light,Cherry_EC6_LowLight,31.4,19.8,21.691,81.958,490.875,31381.065,17.25,1496167.554,435.667,151.656,255047.54,0.0,1.11,0.0,3
43,EC6,high,10,low light,Cherry_EC6_LowLight,31.229,16.886,20.0,77.148,494.41,40632.032,11.5,1697298.535,521.75,143.524,232512.046,0.0,0.493,0.0,3
44,EC6,high,10,low light,Cherry_EC6_LowLight,31.2,16.4,19.943,78.468,494.153,33861.924,12.583,1731160.459,534.333,141.776,234992.905,0.0,1.233,0.0,3
47,EC6,high,10,low light,Cherry_EC6_LowLight,31.929,16.4,19.674,84.806,488.149,28819.238,15.417,1812178.201,583.0,138.983,223328.421,0.0,0.863,0.0,3
48,EC6,high,10,low light,Cherry_EC6_LowLight,32.171,16.4,20.088,81.032,493.826,33840.457,13.833,1846018.658,596.833,139.424,223990.068,0.0,0.56,0.0,3
49,EC6,high,10,low light,Cherry_EC6_LowLight,32.414,16.4,19.815,82.982,498.479,29498.89,16.0,1875517.547,612.833,139.132,218851.044,0.0,0.58,0.0,3
51,EC6,high,10,low light,Cherry_EC6_LowLight,32.9,16.4,19.219,84.488,494.09,24531.079,18.0,1929137.13,648.833,138.062,197976.671,0.0,1.15,0.0,3
54,EC6,high,10,low light,Cherry_EC6_LowLight,33.114,16.4,19.65,84.753,491.021,28060.518,17.667,2015526.164,700.25,137.53,203347.963,0.0,1.73,0.0,3
56,EC6,high,10,low light,Cherry_EC6_LowLight,33.257,16.4,19.782,84.543,490.361,29006.927,18.0,2074184.704,734.417,137.343,198667.157,0.0,0.317,0.0,3
58,EC6,high,10,low light,Cherry_EC6_LowLight,33.4,16.4,19.552,85.341,484.253,28610.503,17.25,2131155.509,766.667,137.616,202018.379,0.0,0.58,0.0,3
8,EC6,high,10,med light,Cherry_EC6_MedLight,14.3,7.0,23.922,79.309,419.351,38390.399,13.75,386644.791,57.75,181.225,341330.678,0.0,0.27,0.0,3
12,EC6,high,10,med light,Cherry_EC6_MedLight,18.46,8.173,22.728,72.636,453.062,44906.326,9.75,569534.666,96.75,165.277,319979.388,0.0,0.4,0.0,3
15,EC6,high,10,med light,Cherry_EC6_MedLight,21.58,9.053,20.911,78.177,473.778,34237.617,14.5,674148.127,140.917,153.844,287503.336,0.0,0.54,0.0,3
22,EC6,high,10,med light,Cherry_EC6_MedLight,28.603,11.107,21.754,77.191,494.035,40729.123,12.333,941019.584,233.417,148.43,266871.457,0.0,0.71,0.0,3
27,EC6,high,10,med light,Cherry_EC6_MedLight,32.457,13.457,22.918,76.353,499.944,43688.373,10.75,1134757.766,299.833,153.191,275707.942,0.0,0.71,0.0,3
28,EC6,high,10,med light,Cherry_EC6_MedLight,33.171,13.971,22.68,80.067,496.413,38022.965,11.25,1172780.731,311.083,154.356,272490.27,0.0,0.37,0.0,3
29,EC6,high,10,med light,Cherry_EC6_MedLight,33.886,14.486,21.496,80.329,494.795,32399.101,15.0,1205179.833,326.083,154.098,264160.248,0.0,0.37,0.0,3
33,EC6,high,10,med light,Cherry_EC6_MedLight,35.243,18.771,22.159,79.864,487.944,39426.292,11.583,1357430.137,377.333,152.648,266360.744,0.0,0.37,0.0,3
37,EC6,high,10,med light,Cherry_EC6_MedLight,36.1,23.8,21.691,81.958,490.875,31381.065,17.25,1496167.554,435.667,151.656,255047.54,0.0,1.11,0.0,3
43,EC6,high,10,med light,Cherry_EC6_MedLight,36.871,18.657,20.0,77.148,494.41,40632.032,11.5,1697298.535,521.75,143.524,232512.046,0.0,0.493,0.0,3
44,EC6,high,10,med light,Cherry_EC6_MedLight,37.0,17.8,19.943,78.468,494.153,33861.924,12.583,1731160.459,534.333,141.776,234992.905,0.0,1.233,0.0,3
47,EC6,high,10,med light,Cherry_EC6_MedLight,36.186,17.8,19.674,84.806,488.149,28819.238,15.417,1812178.201,583.0,138.983,223328.421,0.0,0.863,0.0,3
48,EC6,high,10,med light,Cherry_EC6_MedLight,35.914,17.8,20.088,81.032,493.826,33840.457,13.833,1846018.658,596.833,139.424,223990.068,0.0,0.56,0.0,3
49,EC6,high,10,med light,Cherry_EC6_MedLight,35.643,17.8,19.815,82.982,498.479,29498.89,16.0,1875517.547,612.833,139.132,218851.044,0.0,0.58,0.0,3
51,EC6,high,10,med light,Cherry_EC6_MedLight,35.1,17.8,19.219,84.488,494.09,24531.079,18.0,1929137.13,648.833,138.062,197976.671,0.0,1.15,0.0,3
54,EC6,high,10,med light,Cherry_EC6_MedLight,36.343,17.8,19.65,84.753,491.021,28060.518,17.667,2015526.164,700.25,137.53,203347.963,0.0,1.73,0.0,3
56,EC6,high,10,med light,Cherry_EC6_MedLight,37.171,17.8,19.782,84.543,490.361,29006.927,18.0,2074184.704,734.417,137.343,198667.157,0.0,0.317,0.0,3
58,EC6,high,10,med light,Cherry_EC6_MedLight,38.0,17.8,19.552,85.341,484.253,28610.503,17.25,2131155.509,766.667,137.616,202018.379,0.0,0.58,0.0,3
8,EC6,high,10,no light,Cherry_EC6_NoLight,14.7,6.8,23.922,79.309,419.351,38390.399,13.75,386644.791,57.75,181.225,341330.678,0.0,0.27,0.0,3
12,EC6,high,10,no light,Cherry_EC6_NoLight,17.94,8.08,22.728,72.636,453.062,44906.326,9.75,569534.666,96.75,165.277,319979.388,0.0,0.4,0.0,3
15,EC6,high,10,no light,Cherry_EC6_NoLight,20.37,9.04,20.911,78.177,473.778,34237.617,14.5,674148.127,140.917,153.844,287503.336,0.0,0.54,0.0,3
22,EC6,high,10,no light,Cherry_EC6_NoLight,26.683,11.28,21.754,77.191,494.035,40729.123,12.333,941019.584,233.417,148.43,266871.457,0.0,0.71,0.0,3
27,EC6,high,10,no light,Cherry_EC6_NoLight,29.429,12.971,22.918,76.353,499.944,43688.373,10.75,1134757.766,299.833,153.191,275707.942,0.0,0.71,0.0,3
28,EC6,high,10,no light,Cherry_EC6_NoLight,29.886,13.314,22.68,80.067,496.413,38022.965,11.25,1172780.731,311.083,154.356,272490.27,0.0,0.37,0.0,3
29,EC6,high,10,no light,Cherry_EC6_NoLight,30.343,13.657,21.496,80.329,494.795,32399.101,15.0,1205179.833,326.083,154.098,264160.248,0.0,0.37,0.0,3
33,EC6,high,10,no light,Cherry_EC6_NoLight,30.286,16.914,22.159,79.864,487.944,39426.292,11.583,1357430.137,377.333,152.648,266360.744,0.0,0.37,0.0,3
37,EC6,high,10,no light,Cherry_EC6_NoLight,29.6,20.8,21.691,81.958,490.875,31381.065,17.25,1496167.554,435.667,151.656,255047.54,0.0,1.11,0.0,3
43,EC6,high,10,no light,Cherry_EC6_NoLight,33.2,18.743,20.0,77.148,494.41,40632.032,11.5,1697298.535,521.75,143.524,232512.046,0.0,0.493,0.0,3
44,EC6,high,10,no light,Cherry_EC6_NoLight,33.8,18.4,19.943,78.468,494.153,33861.924,12.583,1731160.459,534.333,141.776,234992.905,0.0,1.233,0.0,3
47,EC6,high,10,no light,Cherry_EC6_NoLight,33.586,18.4,19.674,84.806,488.149,28819.238,15.417,1812178.201,583.0,138.983,223328.421,0.0,0.863,0.0,3
48,EC6,high,10,no light,Cherry_EC6_NoLight,33.514,18.4,20.088,81.032,493.826,33840.457,13.833,1846018.658,596.833,139.424,223990.068,0.0,0.56,0.0,3
49,EC6,high,10,no light,Cherry_EC6_NoLight,33.443,18.4,19.815,82.982,498.479,29498.89,16.0,1875517.547,612.833,139.132,218851.044,0.0,0.58,0.0,3
51,EC6,high,10,no light,Cherry_EC6_NoLight,33.3,18.4,19.219,84.488,494.09,24531.079,18.0,1929137.13,648.833,138.062,197976.671,0.0,1.15,0.0,3
54,EC6,high,10,no light,Cherry_EC6_NoLight,34.286,18.4,19.65,84.753,491.021,28060.518,17.667,2015526.164,700.25,137.53,203347.963,0.0,1.73,0.0,3
56,EC6,high,10,no light,Cherry_EC6_NoLight,34.943,18.4,19.782,84.543,490.361,29006.927,18.0,2074184.704,734.417,137.343,198667.157,0.0,0.317,0.0,3
58,EC6,high,10,no light,Cherry_EC6_NoLight,35.6,18.4,19.552,85.341,484.253,28610.503,17.25,2131155.509,766.667,137.616,202018.379,0.0,0.58,0.0,3
