days_to_maturity,avg_temperature_C,min_temperature_C,max_temperature_C,humidity_percent,co2_ppm,light_intensity_lux,photoperiod_hours,irrigation_mm,fertilizer_N_kg_ha,fertilizer_P_kg_ha,fertilizer_K_kg_ha,pest_severity,pH,yield_kg_per_m2,variety_Beefsteak,variety_Cherry,variety_Heirloom,variety_Roma
85.0,22.6,19.5,25.8,84.0,907.0,29086.0,13.4,5.4,241.0,55.0,181.0,1.8,6.6,22.93,0,1,0,0
88.0,26.3,23.2,27.7,61.4,766.0,32618.0,13.8,7.2,198.0,72.0,240.0,3.0,6.4,20.35,1,0,0,0
78.0,26.1,22.5,28.7,80.6,885.0,45616.0,14.0,7.1,162.0,55.0,176.0,0.0,5.6,21.38,0,0,0,1
64.0,22.4,21.2,24.4,82.0,886.0,18775.0,10.0,7.3,,,,2.3,5.8,13.33,0,1,0,0
72.0,25.8,24.4,27.1,73.2,960.0,10855.0,10.0,8.3,234.0,106.0,242.0,2.0,6.3,10.04,1,0,0,0
81.0,24.0,22.0,25.4,73.8,609.0,22713.0,10.5,9.6,181.0,88.0,155.0,1.9,6.3,13.8,0,0,1,0
82.0,23.5,22.0,25.6,79.9,803.0,22953.0,10.3,7.8,238.0,112.0,166.0,1.8,6.5,11.88,0,0,0,1
80.0,25.0,21.5,26.7,82.1,1187.0,29455.0,12.7,9.8,165.0,59.0,188.0,1.0,7.1,10.32,0,0,1,0
76.0,22.6,20.3,24.9,67.2,849.0,31920.0,13.8,5.3,230.0,95.0,215.0,0.0,6.3,27.2,0,1,0,0
83.0,25.6,24.4,27.1,76.1,792.0,34566.0,12.9,10.4,185.0,82.0,191.0,0.6,7.0,13.91,0,1,0,0
82.0,23.5,21.4,24.6,82.4,929.0,41291.0,15.4,6.9,207.0,91.0,215.0,3.9,6.8,18.53,1,0,0,0
86.0,23.0,21.9,25.1,77.0,707.0,34100.0,14.7,6.4,180.0,63.0,185.0,0.0,6.3,21.83,1,0,0,0
80.0,,,,,,,15.4,8.6,246.0,68.0,192.0,6.2,6.8,11.48,0,0,0,1
78.0,27.6,26.1,30.7,74.6,805.0,30165.0,11.5,7.9,193.0,74.0,159.0,3.5,6.5,13.48,0,0,1,0
82.0,26.3,24.7,28.5,81.9,809.0,20052.0,10.0,6.0,234.0,60.0,198.0,,7.1,18.08,0,1,0,0
69.0,24.6,21.5,26.5,73.7,935.0,29647.0,11.8,9.1,207.0,114.0,162.0,1.8,6.4,15.36,1,0,0,0
82.0,27.8,26.5,30.3,84.4,778.0,40822.0,15.1,6.8,178.0,80.0,160.0,0.0,5.9,19.29,0,0,1,0
81.0,22.4,19.8,24.1,83.7,605.0,24126.0,10.0,5.3,246.0,77.0,242.0,0.2,6.7,16.81,0,1,0,0
72.0,27.2,25.6,29.6,78.6,751.0,30159.0,11.8,8.0,,,,3.2,5.2,11.52,1,0,0,0
72.0,28.0,24.4,31.4,85.3,715.0,21739.0,10.0,11.3,231.0,104.0,234.0,5.2,6.5,10.74,0,0,0,1
81.0,23.0,19.5,25.1,73.1,893.0,28753.0,11.9,8.5,160.0,86.0,153.0,4.6,6.4,10.56,1,0,0,0
84.0,26.3,24.1,27.4,74.9,541.0,28979.0,13.1,10.0,,,,0.3,6.9,13.59,1,0,0,0
69.0,25.6,23.5,26.9,76.0,592.0,34519.0,14.8,7.7,192.0,66.0,194.0,1.4,5.7,15.78,0,1,0,0
74.0,25.3,23.9,26.3,67.8,843.0,26983.0,10.0,11.4,187.0,71.0,184.0,0.2,6.2,10.52,0,1,0,0
71.0,23.5,20.8,25.4,72.5,727.0,28451.0,10.1,6.6,241.0,73.0,170.0,1.6,6.8,19.03,0,1,0,0
78.0,25.6,24.1,29.0,63.2,907.0,26430.0,10.0,7.7,196.0,101.0,165.0,3.7,6.8,15.16,0,0,0,1
83.0,26.6,24.0,28.0,71.6,973.0,24708.0,10.1,6.3,231.0,64.0,209.0,2.8,7.3,16.79,0,0,1,0
86.0,26.2,24.0,27.5,79.6,604.0,34629.0,13.7,9.0,215.0,106.0,207.0,3.8,6.7,13.0,0,0,1,0
66.0,24.3,21.8,26.7,72.0,817.0,19319.0,10.0,5.6,234.0,85.0,171.0,0.0,7.7,23.07,0,1,0,0
90.0,24.8,23.3,26.5,82.3,819.0,23938.0,10.0,4.3,230.0,116.0,225.0,0.0,7.2,20.13,0,0,0,1
65.0,27.6,25.0,29.2,66.0,,43609.0,12.9,9.6,216.0,105.0,220.0,2.4,7.0,15.04,0,0,0,1
80.0,25.2,22.7,26.3,71.0,962.0,49928.0,15.8,8.6,164.0,85.0,207.0,3.8,6.0,13.26,0,0,0,1
78.0,23.3,20.8,26.8,79.1,730.0,19979.0,10.0,7.1,175.0,103.0,154.0,0.8,6.3,17.21,1,0,0,0
74.0,,,,,,,15.1,5.9,194.0,99.0,174.0,0.0,6.2,21.56,0,0,0,1
82.0,28.5,24.7,31.8,82.3,835.0,31386.0,11.8,9.8,200.0,114.0,150.0,3.5,6.6,13.93,0,0,1,0
68.0,22.8,20.9,24.8,82.5,783.0,37053.0,13.0,9.4,245.0,95.0,178.0,3.1,7.2,16.76,0,0,1,0
60.0,20.7,18.3,22.6,92.5,510.0,33628.0,12.3,8.4,239.0,57.0,250.0,0.6,5.4,14.83,1,0,0,0
83.0,23.2,21.5,25.4,73.3,776.0,20318.0,10.0,5.9,157.0,83.0,211.0,0.3,7.1,16.71,0,0,0,1
77.0,,,,,,,10.0,3.4,160.0,55.0,185.0,1.8,6.3,18.94,0,0,0,1
66.0,26.2,23.9,28.1,72.5,750.0,24193.0,10.0,9.4,230.0,106.0,184.0,2.3,6.3,12.41,1,0,0,0
63.0,29.2,26.4,31.4,74.2,722.0,17445.0,10.0,7.3,197.0,102.0,178.0,,6.8,11.52,0,0,0,1
61.0,24.3,22.7,26.1,72.4,843.0,21535.0,10.0,4.3,191.0,71.0,225.0,1.7,6.4,21.71,0,0,0,1
68.0,26.0,24.0,28.9,68.3,606.0,25303.0,10.0,7.0,162.0,72.0,213.0,4.3,6.5,13.49,0,0,0,1
76.0,26.4,24.9,29.2,73.0,860.0,37127.0,14.5,9.8,202.0,77.0,208.0,1.0,6.3,13.78,0,1,0,0
64.0,26.5,25.2,27.9,74.6,783.0,34043.0,13.5,7.1,186.0,57.0,220.0,1.8,6.6,15.34,1,0,0,0
84.0,22.7,21.2,24.4,73.1,677.0,31174.0,15.6,8.5,180.0,74.0,160.0,3.1,,11.63,1,0,0,0
90.0,22.6,19.9,24.3,74.9,798.0,41753.0,15.6,8.3,238.0,106.0,180.0,0.5,6.5,22.75,0,0,1,0
85.0,25.6,22.6,27.7,88.0,379.0,28654.0,13.7,4.8,226.0,67.0,158.0,3.8,6.9,22.16,0,0,1,0
76.0,24.0,21.3,26.0,69.3,826.0,9631.0,10.0,9.2,,,,1.4,6.5,11.81,0,1,0,0
72.0,27.3,23.9,28.4,80.5,558.0,16664.0,10.0,6.8,,,,0.0,7.1,18.27,1,0,0,0
76.0,24.4,22.7,25.5,75.6,1040.0,24857.0,15.9,7.3,205.0,91.0,187.0,0.1,6.9,16.91,1,0,0,0
86.0,24.4,22.9,25.9,73.4,512.0,30116.0,11.3,5.5,240.0,86.0,206.0,0.0,7.5,24.04,0,0,1,0
86.0,25.7,24.6,26.9,87.6,696.0,26040.0,10.0,7.3,174.0,68.0,187.0,3.2,6.3,17.78,0,0,0,1
80.0,28.5,26.1,31.6,81.9,960.0,15306.0,10.0,7.8,183.0,101.0,190.0,0.9,6.5,12.98,0,1,0,0
88.0,22.6,20.4,25.3,78.3,835.0,20365.0,10.0,5.1,194.0,56.0,195.0,0.0,7.4,19.2,0,0,0,1
79.0,21.7,19.4,23.5,80.0,743.0,21619.0,12.1,7.6,250.0,64.0,214.0,0.9,5.4,17.33,0,1,0,0
79.0,26.9,25.1,29.7,84.4,1137.0,48678.0,15.8,8.9,230.0,107.0,173.0,3.5,6.9,15.65,0,0,1,0
72.0,21.0,19.9,22.4,68.3,762.0,21307.0,10.0,9.2,204.0,51.0,171.0,4.8,5.7,11.69,1,0,0,0
83.0,26.5,25.0,28.1,89.0,746.0,26157.0,13.9,9.2,209.0,98.0,187.0,0.6,7.0,12.18,1,0,0,0
75.0,29.3,27.3,30.9,72.0,978.0,33428.0,10.0,7.2,192.0,94.0,241.0,0.0,6.1,15.77,1,0,0,0
74.0,,,,,,,10.2,4.5,171.0,65.0,173.0,0.7,6.4,16.43,0,0,0,1
85.0,26.5,24.2,29.5,72.7,616.0,27530.0,10.0,9.9,219.0,82.0,157.0,2.5,6.2,13.82,0,1,0,0
64.0,27.8,26.4,29.6,77.3,863.0,33800.0,13.0,9.2,172.0,77.0,221.0,1.0,6.9,11.62,0,1,0,0
70.0,26.7,25.4,28.0,65.3,993.0,21654.0,10.0,8.8,196.0,116.0,240.0,0.0,6.5,10.37,1,0,0,0
78.0,24.1,22.6,25.3,85.9,964.0,32478.0,11.5,6.7,159.0,66.0,221.0,4.6,6.2,18.53,0,0,1,0
71.0,23.3,20.9,24.8,64.3,885.0,40192.0,15.9,8.4,151.0,95.0,241.0,0.1,6.2,15.81,1,0,0,0
86.0,24.0,22.9,25.2,81.3,786.0,23232.0,10.0,7.5,225.0,51.0,215.0,2.3,,16.44,1,0,0,0
73.0,22.4,19.6,23.9,70.8,811.0,31127.0,16.1,7.7,218.0,105.0,196.0,1.5,6.6,21.08,0,0,1,0
61.0,25.4,23.8,27.6,74.8,782.0,39627.0,13.2,6.6,247.0,111.0,190.0,4.0,,20.0,0,0,0,1
70.0,29.8,28.5,32.9,76.9,903.0,28890.0,11.8,11.3,243.0,101.0,155.0,2.4,6.8,13.49,1,0,0,0
64.0,26.8,24.3,29.6,65.0,779.0,24975.0,12.8,7.8,232.0,59.0,175.0,4.1,6.8,12.05,0,1,0,0
72.0,25.1,23.4,26.2,66.1,907.0,32119.0,13.9,7.9,213.0,54.0,218.0,3.6,6.5,18.31,0,0,0,1
75.0,,,,,,,16.0,9.9,201.0,99.0,244.0,1.5,7.0,16.73,1,0,0,0
81.0,24.6,23.4,27.4,78.2,715.0,25248.0,13.6,7.7,191.0,91.0,207.0,4.8,6.1,13.33,1,0,0,0
79.0,27.3,26.2,28.6,75.6,795.0,36404.0,13.2,6.2,,,,1.7,6.5,22.09,1,0,0,0
75.0,,,,,,,15.5,4.5,194.0,88.0,214.0,2.5,6.6,19.09,0,1,0,0
63.0,28.3,25.8,30.8,88.1,925.0,26541.0,11.2,5.7,215.0,57.0,235.0,2.0,6.7,20.96,0,0,1,0
63.0,27.8,26.0,29.1,82.1,806.0,23894.0,10.4,6.7,203.0,54.0,191.0,0.3,6.7,17.14,0,0,1,0
71.0,24.1,22.8,26.0,73.0,747.0,25017.0,14.4,5.2,193.0,111.0,219.0,0.0,6.1,22.08,0,1,0,0
86.0,23.5,21.1,25.2,67.5,723.0,34390.0,15.8,8.4,179.0,86.0,243.0,0.0,6.7,14.47,0,0,1,0
82.0,24.8,22.8,26.1,77.8,817.0,18948.0,10.5,8.7,247.0,87.0,156.0,0.7,6.1,13.96,0,0,1,0
63.0,25.3,24.3,26.9,87.0,862.0,28418.0,14.9,5.6,195.0,80.0,157.0,1.4,6.0,20.09,0,0,0,1
82.0,29.2,27.1,30.5,65.7,686.0,18993.0,10.0,5.9,190.0,110.0,210.0,3.1,7.0,18.73,0,0,0,1
84.0,25.1,22.4,27.1,74.6,642.0,31248.0,10.2,6.7,163.0,62.0,152.0,3.3,6.8,18.06,1,0,0,0
70.0,22.3,20.9,24.3,80.1,850.0,32133.0,15.7,5.9,210.0,56.0,152.0,,7.2,18.98,0,0,0,1
76.0,27.3,26.3,29.9,84.8,1068.0,17911.0,10.0,7.0,177.0,113.0,203.0,2.4,7.5,16.91,0,0,1,0
70.0,25.9,23.9,27.3,80.3,743.0,42556.0,15.6,4.7,167.0,50.0,176.0,3.1,6.2,23.32,0,0,0,1
65.0,26.1,24.7,27.3,82.0,803.0,34375.0,14.7,6.3,227.0,70.0,179.0,0.8,6.1,23.6,1,0,0,0
84.0,25.3,23.5,28.1,76.2,826.0,36545.0,14.9,8.2,166.0,119.0,216.0,0.5,6.3,19.2,0,1,0,0
86.0,23.7,21.5,24.8,78.5,1048.0,31622.0,13.0,5.2,169.0,120.0,170.0,2.1,7.0,20.61,1,0,0,0
61.0,27.1,25.1,29.0,80.3,823.0,16197.0,10.7,7.0,208.0,72.0,205.0,2.1,5.3,11.6,0,0,0,1
72.0,26.5,23.7,28.9,82.1,869.0,40779.0,14.2,7.4,195.0,70.0,212.0,0.0,6.5,18.93,0,1,0,0
84.0,22.5,20.7,24.3,81.1,897.0,19550.0,10.0,4.8,169.0,73.0,216.0,2.2,6.3,16.79,0,1,0,0
71.0,23.7,22.5,25.5,64.2,1013.0,35185.0,13.0,7.8,179.0,87.0,214.0,0.6,6.9,15.14,0,1,0,0
61.0,21.0,19.6,22.5,87.4,876.0,35700.0,14.6,6.0,150.0,100.0,206.0,4.9,6.1,15.48,1,0,0,0
63.0,28.0,26.5,30.8,84.2,1094.0,22744.0,10.5,7.8,231.0,80.0,200.0,1.0,6.1,15.05,0,0,1,0
90.0,23.5,20.4,26.7,73.7,826.0,38458.0,15.7,7.1,207.0,55.0,203.0,3.0,5.4,19.56,0,1,0,0
72.0,26.5,24.5,28.6,78.5,846.0,10085.0,10.0,8.6,186.0,96.0,214.0,2.8,5.7,13.88,0,0,1,0
75.0,25.4,23.1,27.1,58.9,954.0,24693.0,10.0,7.2,204.0,56.0,207.0,0.0,6.3,15.06,0,0,1,0
75.0,29.0,27.8,31.3,64.9,1034.0,30574.0,14.2,9.7,226.0,91.0,221.0,0.1,6.2,15.76,0,0,1,0
66.0,25.7,23.9,27.7,77.5,616.0,27509.0,10.0,11.2,202.0,99.0,167.0,3.3,6.2,12.08,1,0,0,0
61.0,27.3,26.1,28.6,68.0,619.0,31556.0,14.4,8.8,189.0,73.0,158.0,2.8,6.8,12.6,0,0,1,0
70.0,28.2,26.4,30.1,67.3,733.0,37332.0,14.1,6.3,151.0,55.0,242.0,4.3,7.1,17.09,1,0,0,0
71.0,22.3,21.1,23.9,58.4,684.0,32325.0,11.8,7.1,226.0,82.0,167.0,1.8,7.3,20.6,0,0,1,0
87.0,27.2,25.2,28.7,63.6,790.0,42373.0,16.0,7.9,220.0,59.0,207.0,1.5,6.7,19.92,0,1,0,0
69.0,26.9,25.4,28.2,83.1,628.0,18384.0,10.0,6.3,169.0,91.0,199.0,2.8,6.3,16.0,0,1,0,0
74.0,25.7,23.3,26.9,71.6,839.0,29479.0,12.7,5.9,180.0,104.0,192.0,3.2,5.9,20.7,0,0,0,1
85.0,23.7,20.8,26.4,81.0,785.0,38943.0,15.9,6.2,233.0,58.0,155.0,1.3,6.7,23.39,0,0,1,0
80.0,24.3,21.9,26.4,78.3,872.0,30496.0,10.1,8.0,242.0,70.0,225.0,4.7,6.2,16.69,0,0,0,1
62.0,27.2,25.0,28.6,57.0,699.0,19124.0,10.0,8.7,177.0,52.0,234.0,2.9,7.2,13.17,0,0,1,0
74.0,20.2,17.6,22.5,81.0,656.0,20508.0,10.0,7.8,,,,1.1,6.4,10.88,0,0,0,1
82.0,24.5,21.7,27.5,87.4,941.0,20587.0,10.0,10.2,168.0,68.0,181.0,0.9,6.0,15.29,0,0,0,1
79.0,25.3,24.1,26.7,78.0,805.0,27419.0,11.7,7.6,240.0,65.0,207.0,1.7,7.3,15.1,0,1,0,0
70.0,25.9,22.6,28.3,85.2,900.0,34244.0,15.1,6.1,167.0,60.0,169.0,1.2,6.9,20.07,0,0,1,0
68.0,24.1,22.6,26.8,72.3,779.0,19831.0,10.0,9.4,203.0,67.0,237.0,3.3,6.6,11.06,1,0,0,0
86.0,25.9,24.7,27.6,79.7,691.0,41915.0,16.0,7.9,174.0,102.0,163.0,2.1,6.3,15.9,1,0,0,0
65.0,24.4,22.7,25.7,79.9,699.0,34425.0,15.5,9.5,194.0,85.0,157.0,1.1,6.4,13.23,0,0,0,1
84.0,23.8,22.0,25.9,67.0,840.0,15586.0,10.0,5.9,,,,2.5,6.1,17.78,0,0,0,1
74.0,21.9,18.9,23.2,84.9,843.0,38919.0,12.7,2.1,172.0,108.0,182.0,3.0,7.0,14.86,0,1,0,0
65.0,,,,,,,10.0,9.5,183.0,98.0,235.0,1.8,7.1,10.16,0,0,1,0
66.0,25.8,24.0,27.3,71.2,855.0,29748.0,10.0,8.6,179.0,75.0,241.0,0.0,6.5,16.5,0,1,0,0
69.0,25.1,22.9,26.4,94.4,604.0,28183.0,10.0,8.6,153.0,74.0,225.0,2.4,6.6,9.62,0,0,0,1
85.0,23.6,22.3,25.1,80.4,875.0,29857.0,10.0,5.2,200.0,91.0,180.0,1.5,6.6,22.34,0,0,0,1
65.0,24.0,21.9,25.2,79.6,727.0,17898.0,10.0,8.5,243.0,51.0,156.0,0.6,,11.49,1,0,0,0
69.0,24.5,22.7,25.8,55.0,621.0,26496.0,13.4,5.9,176.0,101.0,153.0,2.8,6.8,20.18,0,1,0,0
80.0,26.8,24.0,28.1,65.1,958.0,45684.0,15.9,10.0,234.0,89.0,244.0,1.0,6.5,15.31,0,0,0,1
